,Player_Id,Year_x,Rnd,Pick,Tm,Player,Position,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,Unnamed: 32,Year_y,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
397,LindRy00,2012,6,185,ARI,Ryan Lindley,QB,QB,-4,23,2015,0,0,0,-4,-4,10,140,274,1372,3,11,4,7,0,,,,,,,San Diego St.,,2012,San Diego State,QB,75.75,229,10,32.63,35,4.86,,29.5,108,4.45,7.52,
229,MannSe00,2015,3,89,STL,Sean Mannion,QB,QB,0,23,2015,0,0,0,0,0,1,6,7,31,0,0,,,,,,,, ,,Oregon St.,,2015,Oregon State,QB,77.63,229,9,33.5,40,5.14,,31,105,4.39,7.29,
230,PettBr01,2015,4,103,NYJ,Bryce Petty,QB,QB,0,24,2016,0,0,0,0,0,2,21,34,182,1,1,,,,,,,,,,Baylor,,2015,Baylor,QB,74.88,230,10,31.88,31,4.87,,34,121,4.13,6.91,
231,HundBr00,2015,5,147,GNB,Brett Hundley,QB,QB,0,22,2016,0,0,0,0,0,2,2,7,17,0,1,1,0,0,,,,,,,UCLA,,2015,UCLA,QB,75.25,226,10.5,32.13,26,4.63,,36,120,3.98,6.93,
233,ThomLo00,2014,4,120,ARI,Logan Thomas,QB,QB,0,23,2014,0,0,0,0,0,2,1,9,81,1,0,,,,,,,,,,Virginia Tech,,2014,Virginia Tech,QB,78.13,248,10.88,34.25,,4.61,,35.5,116,4.18,7.05,
234,SavaTo00,2014,4,135,HOU,Tom Savage,QB,QB,0,24,2014,0,0,0,0,0,2,10,19,127,0,1,6,-6,0,,,,,,,Pittsburgh,,2014,Pittsburgh,QB,75.88,228,9.63,31.63,,4.97,,27,104,4.36,7.33,
236,McCaA.00,2014,5,164,CIN,A.J. McCarron,QB,QB,0,24,2016,0,0,0,3,3,8,79,119,854,6,2,14,31,0,,,,,,,Alabama,,2014,Alabama,QB,75.25,220,,,,4.94,,28,99,4.34,,
241,NassRy00,2013,4,110,NYG,Ryan Nassib,QB,QB,0,23,2015,0,0,0,0,0,5,9,10,128,1,0,2,-3,0,,,,,,,Syracuse,,2013,Syracuse,QB,74.13,227,10.18,32,41,5.06,,28.5,105,4.53,7.34,
252,KafkMi00,2010,4,122,PHI,Mike Kafka,QB,QB,0,23,2011,0,0,0,0,0,4,11,16,107,0,2,3,0,0,,,,,,,Northwestern,,2010,Northwestern,QB,75.13,225,9.25,,,4.93,,32,110,4.37,6.96,
255,PikeTo00,2010,6,204,CAR,Tony Pike,QB,QB,0,24,2010,0,0,0,0,0,1,6,12,47,0,0,,,,,,,,,,Cincinnati,,2010,Cincinnati,QB,77.75,223,10,,,4.9,,28.5,108,4.53,7.06,
256,BrowLe00,2010,7,209,BUF,Levi Brown,QB,QB,0,23,2010,0,0,0,0,0,1,2,3,24,0,1,,,,,,,,,,Troy,,2010,Troy (AL),QB,75.5,229,9.5,31.5,,4.93,20,31.5,106,4.43,7.07,
261,BranTo00,2009,6,174,DEN,Tom Brandstater,QB,QB,0,24,2011,0,0,0,0,,1,0,2,0,0,0,,,,,,,,,,,,2009,Frenso State (CA),QB,77,220,9.5,,,4.87,,28.5,106,4.37,6.93,
263,BrohBr00,2008,2,56,GNB,Brian Brohm,QB,QB,0,23,2010,0,0,0,0,,3,27,52,252,0,5,3,-3,0,,,,,,,Louisville,,2008,Louisville,QB,74.88,230,9.75,30,32,4.85,,30,115,4.55,7.13,
264,OConKe00,2008,3,94,NWE,Kevin O'Connell,QB,QB,0,23,2008,0,0,0,0,0,2,4,6,23,0,0,3,-6,0,,,,,,,San Diego St.,,2008,San Diego State,QB,77,225,8.88,34.13,24,4.66,,31,113,4.38,7.01,
272,PalmJo20,2007,6,205,WAS,Jordan Palmer,QB,QB,0,23,2014,0,0,0,0,,5,11,18,66,0,2,2,3,0,,,,,,,Texas-El Paso,,2007,Texas-El Paso,QB,77.63,231,10,33.38,23,4.99,,30.5,104,4.58,7.32,
273,MartIn00,2006,5,148,GNB,Ingle Martin,QB,QB,0,24,2006,0,0,0,0,0,1,,,,,,2,-5,0,,,,,,,Furman,,2006,Furman (SC),QB,74.25,220,9.5,31,30,4.72,,36,111,4.17,7.13,
275,McNeRe00,2006,6,193,CIN,Reggie McNeal,QB,QB,0,23,2006,0,0,0,0,0,7,,,,,,1,8,0,,,,,,,Texas A&M,,2006,Texas A&M,QB,74,198,8.88,32.25,,4.43,,32,121,4.25,6.96,
281,LosmJ.00,2004,1,22,BUF,J.P. Losman,QB,QB,0,23,2011,0,0,2,19,19,45,564,952,6271,33,34,105,490,3,,,,2,,,Tulane,,2004,Tulane (LA),QB,74.3,224,9,31.5,31,4.7,,33,116,,,
282,HallAn00,2004,6,185,PHI,Andy Hall,QB,QB,0,23,2005,0,0,0,0,0,1,,,,,,,,,,,,,,,Delaware,,,,,,,,,,,,,,,,
285,NavaJo00,2004,7,202,ARI,John Navarre,QB,QB,0,24,2005,0,0,0,0,0,2,32,64,342,2,5,,,,,,,,,,Michigan,,2004,Michigan,QB,78,246,9,31.38,24,5.18,,26.5,100,4.46,7.73,
288,VanPBr00,2004,7,250,DEN,Bradlee Van Pelt,QB,QB,0,24,2005,0,0,0,0,0,3,2,8,7,0,0,11,48,1,,,,,,,Colorado St.,,2004,Colorado State,QB,74.3,231,9.63,30.63,25,4.96,,33.5,115,4.11,6.89,
289,St.PBr20,2003,5,163,PIT,Brian St. Pierre,QB,QB,0,23,2010,0,0,0,0,0,3,15,33,185,2,3,5,-1,0,,,,,,,,,2003,Boston College,QB,75,218,,,27,4.82,,30,106,,,
290,HensDr00,2003,6,192,HOU,Drew Henson,QB,QB,0,23,2008,0,0,0,0,,9,11,20,98,1,1,1,7,0,,,,,,,,,,,,,,,,,,,,,,,
291,KingKl00,2003,6,201,NWE,Kliff Kingsbury,QB,QB,0,24,2005,0,0,0,0,,1,1,2,17,0,0,,,,,,,,,,,,2003,Texas Tech,QB,75.5,213,8.5,32,31,4.76,,30,101,4.07,6.91,
292,HamdGi00,2003,7,232,WAS,Gibran Hamdan,QB,QB,0,22,2003,0,0,0,0,0,1,1,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
